Dia,Campanha,Codigo da moeda,Cliques,Impr.,CTR,CPC medio,Custo,% de impr. (1ª posicao),% de impr. (parte sup.),Conversoes,Conv. de visualizacao,Custo / conv.,Taxa de conv.
2022-10-28,Super Cacau - Search,BRL,17,1.108,"1,53%","5,87","99,84","79,70%","94,23%","0,00",0, --,"0,00%"
2022-10-29,Super Cacau - Search,BRL,35,1.179,"2,97%","2,93","102,43","86,53%","98,63%","0,00",0, --,"0,00%"
2022-10-30,Super Cacau - Search,BRL,31,1.419,"2,18%","1,70","52,81","70,77%","99,68%","0,00",0, --,"0,00%"
2022-10-31,Super Cacau - Search,BRL,34,1.333,"2,55%","1,39","47,34","52,60%","98,83%","0,00",0, --,"0,00%"
2022-11-01,Super Cacau - Search,BRL,34,1.357,"2,51%","1,49","50,75","57,95%","99,00%","0,00",0, --,"0,00%"
2022-11-02,Super Cacau - Search,BRL,35,1.648,"2,12%","1,45","50,88","56,52%","98,89%","0,00",0, --,"0,00%"
2022-11-03,Super Cacau - Search,BRL,42,1.697,"2,47%","1,21","50,68","55,95%","95,34%","0,00",0, --,"0,00%"
2022-11-04,Super Cacau - Search,BRL,53,1.989,"2,66%","0,90","47,46","49,73%","97,04%","0,00",0, --,"0,00%"
2022-11-05,Super Cacau - Search,BRL,63,2.265,"2,78%","0,40","25,46","53,57%","91,07%","0,00",0, --,"0,00%"
2022-11-05,Super Cacau - Display RT concorrentes,BRL,97,8.643,"1,12%","0,25","24,34",0,0,"0,00",0, --,"0,00%"
2022-11-06,Super Cacau - Search,BRL,52,2.081,"2,50%","0,53","27,49","47,95%","95,89%","0,00",0, --,"0,00%"
2022-11-06,Super Cacau - Display RT concorrentes,BRL,73,8.916,"0,82%","0,24","17,42",0,0,"0,00",0, --,"0,00%"
2022-11-07,Super Cacau - Search,BRL,55,2.147,"2,56%","1,03","56,74","46,70%","90,75%","0,00",0, --,"0,00%"
2022-11-07,Super Cacau - Display RT concorrentes,BRL,57,4.941,"1,15%","0,31","17,50",0,0,"0,00",0, --,"0,00%"
2022-11-08,Super Cacau - Search,BRL,51,2.125,"2,40%","0,60","30,59","56,86%","96,08%","0,00",0, --,"0,00%"
2022-11-08,Super Cacau - Display RT concorrentes,BRL,30,2.304,"1,30%","0,30","8,88",0,0,"0,00",0, --,"0,00%"
