nome_conta,Date,nome_campanha,tipo_rede_ad,impressoes,cliques,interacoes,conversoes,valor_conversoes,investido
Intelbras - Controle de Acesso (A7B),2022-12-06,[CONT-ACESS - EMP-CORP] CONVERSÕES (pmax) - Linha de Faciais,MIXED,30175.0,4258.5,4258.5,416.5,416.5,4688.3189305
Intelbras - Segurança (A7B),2022-12-06,[SEG - TMR] Tráfego (Discovery) - Micro SD,MIXED,14339.5,119.0,2176.0,0.0,0.0,432.7656425
Intelbras - Controle de Acesso (A7B),2022-12-06,[CONT-ACESS - INC-ILU] TRÁFEGO (search) - Incêndio,SEARCH,12376.0,663.0,663.0,25.5,25.5,913.325
Intelbras - E-commerce (A7B),2022-12-06,[ES - Off-Grid] Purchase (Search) - LSI 1600 (Luminária Solar),SEARCH,14.0,3.0,3.0,0.0,0.0,1.04
Intelbras - Segurança (A7B),2022-12-06,[SEG - TMR] Tráfego (Search) - BodyCam,SEARCH,4267.0,246.5,246.5,0.0,0.0,164.9
Intelbras - E-commerce (A7B),2022-12-06,PMax: Soluções Residenciais - Smart Shopping - Fechadura Eletrônica - Casa Inteligente - 06/2022,MIXED,63136.0,1720.0,1720.0,0.0,0.0,905.693216
Intelbras - E-commerce (A7B),2022-12-06,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Fechadura Eletrônica - Casa Inteligente - 06/2022,MIXED,3946.0,107.5,107.5,0.0,0.0,56.605826
Intelbras - E-commerce (A7B),2022-12-06,PMax: Soluções Residenciais - Smart Shopping - Casa Inteligente - Demais Produtos - 06/2022,MIXED,192280.0,3368.0,3368.0,23.200000000000003,23.200000000000003,3318.1256
Intelbras - Energia Solar (A7B),2022-12-06,[ES - OG] Leads (PMAX) - Simulador Solar,MIXED,2405712.5,9324.5,9333.0,824.5,824.5,4258.6086725
Intelbras - E-commerce (A7B),2022-12-06,Parceiros - Compra Fácil - Com Instalação - Cidades Pequenas,MIXED,55896.0,480.0,480.0,0.0,0.0,443.2
Intelbras - E-commerce (A7B),2022-12-06,[E-Commerce] Parceiros - Compra Fácil - Com Instalação - Cidades Pequenas,MIXED,3493.5,30.0,30.0,0.0,0.0,27.7
Intelbras - Comunicação (A7B),2022-12-06,[CM - PRF] Tráfego (Search) - Ambiente de trabalho,SEARCH,30489.5,595.0,595.0,8.5,8.5,1136.875
Intelbras - Energia Solar (A7B),2022-12-06,[ES - OG] Leads (Search) - SeP Grandes Empresas,SEARCH,867.0,25.5,25.5,0.0,0.0,85.255
Intelbras - Redes (A7B),2022-12-06,[REDES - CAB-ESTRUT] TRÁFEGO (search) - Cabos e passivos,SEARCH,10259.5,391.0,391.0,8.5,8.5,608.855
Intelbras - Energia Solar (A7B),2022-12-06,[ES - OG] Remarketing (Display) - Telegram Solar,CONTENT,3848.0,188.0,188.0,16.0,16.0,128.31348
Intelbras - Segurança (A7B),2022-12-06,[SEG - AS] Leads (Search) - Série 8000,CONTENT,229.5,17.0,17.0,0.0,0.0,6.637276
Intelbras - E-commerce (A7B),2022-12-06,[E-COMMERCE] PMax: Outras Categorias - Conversão,MIXED,70093.5,742.0,742.0,22.48,22.48,471.2802355
Intelbras - Solução Grandes Empresas (A7B),2022-12-06,AT - Soluções Agro - Reconhecimento de Marca,CONTENT,953368.5,1198.5,1198.5,0.0,0.0,673.8927755
Intelbras - Controle de Acesso (A7B),2022-12-06,[CONT-ACESS - AUT-PORTÕES] CONSIDERAÇÃO (youtube) - Automatizadores Awareness,YOUTUBE_WATCH,32410.5,161.5,16898.0,0.0,0.0,486.9868195
